molecularAlterationType,datatype,name,description,showProfileInAnalysisTab,molecularProfileId,studyId
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"prad_tcga_pan_can_atlas_2018_gistic","prad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"prad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","prad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"prad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","prad_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"prad_tcga_pan_can_atlas_2018_log2CNA","prad_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"prad_tcga_pan_can_atlas_2018_mutations","prad_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"prad_tcga_pub_rppa","prad_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"prad_tcga_pub_rppa_Zscores","prad_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls determined using GISTIC 2.0 and, in some cases, manual review. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"prad_tcga_pub_gistic","prad_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","mRNA expression levels (RSEM UNC).",false,"prad_tcga_pub_rna_seq_v2_mrna","prad_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"prad_tcga_pub_rna_seq_v2_mrna_median_Zscores","prad_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"prad_tcga_pub_linear_CNA","prad_tcga_pub"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 333 cases. For genes with multiple methylation probes, the probe least correlated with expression.",false,"prad_tcga_pub_methylation_hm450","prad_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"prad_tcga_pub_mutations","prad_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from WGS and/or WXS of 43 rhabdomyosarcoma samples.",true,"rms_nih_2014_mutations","rms_nih_2014"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA-Seq RPKM)","Expression levels for 26136 genes in 47 RT cases (RNA-Seq RPKM).",false,"rt_target_2018_pub_rna_seq_mrna","rt_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq RPKM)","mRNA z-Scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors.",true,"rt_target_2018_pub_rna_seq_mrna_median_Zscores","rt_target_2018_pub"
"MUTATION_EXTENDED","MAF","Somatic mutations","Somatic mutation status from whole genome sequencing of 48 samples",true,"rt_target_2018_pub_mutations","rt_target_2018_pub"
"MRNA_EXPRESSION","CONTINUOUS","microRNA expression","Expression levels for microRNAs.",false,"rt_target_2018_pub_mirna","rt_target_2018_pub"
"MRNA_EXPRESSION","Z-SCORE","microRNA expression Z-scores","microRNA expression Z-scores compared to all tumors.",false,"rt_target_2018_pub_mirna_median_Zscores","rt_target_2018_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations (RAE)","Putative copy-number calls, determined using the RAE algorithm from Affymetrix 250K SNP array data. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"sarc_mskcc_cna","sarc_mskcc"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression","mRNA expression data (Affymetrix U133A).",false,"sarc_mskcc_mrna","sarc_mskcc"
"MRNA_EXPRESSION","Z-SCORE","mRNA Z-scores vs normal fat","mRNA Z-scores compared to expression in normal fat samples. Only for subtypes arising from an adipose precursor cell (DDLPS, PLEO, MYXOID).",true,"sarc_mskcc_mrna_znormal","sarc_mskcc"
"MUTATION_EXTENDED","MAF","Mutations","Validated somatic mutations (Sanger biochemistry, 722 protein-coding genes and microRNAs).",true,"sarc_mskcc_mutations","sarc_mskcc"
"MRNA_EXPRESSION","DISCRETE","mRNA outliers","mRNA expression outliers compared to normal fat (-1 = underexpressed, 1 = overexpressed). Only for subtypes arising from an adipose precursor cell (DDLPS, PLEO, MYXOID).",true,"sarc_mskcc_mrna_outlier","sarc_mskcc"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"sarc_tcga_rppa","sarc_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"sarc_tcga_rppa_Zscores","sarc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 257 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"sarc_tcga_gistic","sarc_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 265 soft_tissue cases (RNA Seq V2 RSEM).",false,"sarc_tcga_rna_seq_v2_mrna","sarc_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"sarc_tcga_rna_seq_v2_mrna_median_Zscores","sarc_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"sarc_tcga_linear_CNA","sarc_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 269 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"sarc_tcga_methylation_hm450","sarc_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: SARC/20160128/gdac.broadinstitute.org_SARC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"sarc_tcga_mutations","sarc_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"sarc_tcga_pan_can_atlas_2018_gistic","sarc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"sarc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","sarc_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"sarc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","sarc_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"sarc_tcga_pan_can_atlas_2018_log2CNA","sarc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"sarc_tcga_pan_can_atlas_2018_mutations","sarc_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from targeted sequencing of 12 SCCO samples.",true,"scco_mskcc_mutations","scco_mskcc"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations",true,"sclc_cancercell_gardner_2017_mutations","sclc_cancercell_gardner_2017"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 29 tumor/normal pairs.",true,"sclc_clcgp_mutations","sclc_clcgp"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 42 tumor/normal pairs.",true,"sclc_jhu_mutations","sclc_jhu"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole genome sequencing of 110 human small cell lung cancer(SCLC) specimens.",true,"sclc_ucologne_2015_mutations","sclc_ucologne_2015"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 121 tumor/normal pairs.",true,"skcm_broad_mutations","skcm_broad"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 121 tumor/normal pairs.",true,"skcm_broad_brafresist_2012_mutations","skcm_broad_brafresist_2012"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole genome sequencing of 25 metastatic melanomas.",true,"skcm_broad_dfarber_mutations","skcm_broad_dfarber"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"skcm_tcga_rppa","skcm_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"skcm_tcga_rppa_Zscores","skcm_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 367 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"skcm_tcga_gistic","skcm_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 473 skcm cases (RNA Seq V2 RSEM).",false,"skcm_tcga_rna_seq_v2_mrna","skcm_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"skcm_tcga_rna_seq_v2_mrna_median_Zscores","skcm_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"skcm_tcga_linear_CNA","skcm_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 475 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"skcm_tcga_methylation_hm450","skcm_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: SKCM/20160128/gdac.broadinstitute.org_SKCM.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"skcm_tcga_mutations","skcm_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"skcm_tcga_pan_can_atlas_2018_gistic","skcm_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"skcm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","skcm_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"skcm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","skcm_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"skcm_tcga_pan_can_atlas_2018_log2CNA","skcm_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"skcm_tcga_pan_can_atlas_2018_mutations","skcm_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation profile by WES",true,"skcm_ucla_2016_mutations","skcm_ucla_2016"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"skcm_vanderbilt_mskcc_2015_gistic","skcm_vanderbilt_mskcc_2015"
"MUTATION_EXTENDED","MAF","Mutations","BRAF mutant melanoma: MSKCC (pre-treatment)-Vanderbilt (MSKCC 2015)",true,"skcm_vanderbilt_mskcc_2015_mutations","skcm_vanderbilt_mskcc_2015"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 91 tumor/normal pairs.",true,"skcm_yale_mutations","skcm_yale"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from whole genome sequencing of 100 tumor/normal pairs.",true,"stad_pfizer_uhongkong_mutations","stad_pfizer_uhongkong"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"stad_tcga_rppa","stad_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"stad_tcga_rppa_Zscores","stad_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 441 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"stad_tcga_gistic","stad_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq RPKM)","Expression levels for 29699 genes in 36 stad cases (RNA Seq RPKM).",false,"stad_tcga_rna_seq_mrna","stad_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 450 stad cases (RNA Seq V2 RSEM).",false,"stad_tcga_rna_seq_v2_mrna","stad_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"stad_tcga_rna_seq_v2_mrna_median_Zscores","stad_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"stad_tcga_linear_CNA","stad_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM27)","Methylation (HM27) beta-values for genes in 73 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"stad_tcga_methylation_hm27","stad_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 397 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"stad_tcga_methylation_hm450","stad_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: STAD/20160128/gdac.broadinstitute.org_STAD.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz.",true,"stad_tcga_mutations","stad_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"stad_tcga_pan_can_atlas_2018_gistic","stad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"stad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","stad_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"stad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","stad_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"stad_tcga_pan_can_atlas_2018_log2CNA","stad_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"stad_tcga_pan_can_atlas_2018_mutations","stad_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 293 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"stad_tcga_pub_gistic","stad_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","mRNA expression levels (BCGSC).",false,"stad_tcga_pub_rna_seq_v2_mrna","stad_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"stad_tcga_pub_rna_seq_v2_mrna_median_Zscores","stad_tcga_pub"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"stad_tcga_pub_linear_CNA","stad_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"stad_tcga_pub_mutations","stad_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 22 gastric samples.",true,"stad_uhongkong_mutations","stad_uhongkong"
"MUTATION_EXTENDED","MAF","Mutations","Somatic mutations from exome sequencing of 30 tumor/normal pairs.",true,"stad_utokyo_mutations","stad_utokyo"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"stes_tcga_pub_gistic","stes_tcga_pub"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing.",true,"stes_tcga_pub_mutations","stes_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Copy-number alterations from sequencing data","Copy-number from MSK-IMPACT and FACETS. Values: -2 = homozygous deletion; 0 = neutral / no change; 2 = high level amplification.",true,"summit_2018_cna","summit_2018"
"MUTATION_EXTENDED","MAF","Mutation data from MSK-IMPACT sequencing","Mutations",true,"summit_2018_mutations","summit_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing of 28 thymic epithelial tumors patients.",true,"tet_nci_2014_mutations","tet_nci_2014"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"tgct_tcga_rppa","tgct_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"tgct_tcga_rppa_Zscores","tgct_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 150 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"tgct_tcga_gistic","tgct_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 156 nsgct cases (RNA Seq V2 RSEM).",false,"tgct_tcga_rna_seq_v2_mrna","tgct_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"tgct_tcga_rna_seq_v2_mrna_median_Zscores","tgct_tcga"
"COPY_NUMBER_ALTERATION","CONTINUOUS","Relative linear copy-number values","Relative linear copy-number values for each gene (from Affymetrix SNP6).",false,"tgct_tcga_linear_CNA","tgct_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 156 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"tgct_tcga_methylation_hm450","tgct_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: TGCT/20160128/gdac.broadinstitute.org_TGCT.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"tgct_tcga_mutations","tgct_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"tgct_tcga_pan_can_atlas_2018_gistic","tgct_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"tgct_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","tgct_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"tgct_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","tgct_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"tgct_tcga_pan_can_atlas_2018_log2CNA","tgct_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"tgct_tcga_pan_can_atlas_2018_mutations","tgct_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"thca_tcga_rppa","thca_tcga"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"thca_tcga_rppa_Zscores","thca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 90 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"thca_tcga_gistic","thca_tcga"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 79 acc cases (RNA Seq V2 RSEM).",false,"thca_tcga_rna_seq_v2_mrna","thca_tcga"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"thca_tcga_rna_seq_v2_mrna_median_Zscores","thca_tcga"
"METHYLATION","CONTINUOUS","Methylation (HM450)","Methylation (HM450) beta-values for genes in 80 cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.",false,"thca_tcga_methylation_hm450","thca_tcga"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from whole exome sequencing. Mutation packager: THCA/20160128/gdac.broadinstitute.org_THCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz.",true,"thca_tcga_mutations","thca_tcga"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number from GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"thca_tcga_pan_can_atlas_2018_gistic","thca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","CONTINUOUS","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",false,"thca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","thca_tcga_pan_can_atlas_2018"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression Zscores, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",true,"thca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores","thca_tcga_pan_can_atlas_2018"
"COPY_NUMBER_ALTERATION","LOG2-VALUE","Log2 copy-number values","Log2 copy-number values for each gene (from Affymetrix SNP6).",false,"thca_tcga_pan_can_atlas_2018_log2CNA","thca_tcga_pan_can_atlas_2018"
"MUTATION_EXTENDED","MAF","Mutations","Mutation data from exome sequencing data that were compiled using handpicked individual MAFs taken from the individual tumor type AWG lists.",true,"thca_tcga_pan_can_atlas_2018_mutations","thca_tcga_pan_can_atlas_2018"
"PROTEIN_LEVEL","LOG2-VALUE","Protein expression (RPPA)","Protein expression measured by reverse-phase protein array",false,"thca_tcga_pub_rppa","thca_tcga_pub"
"PROTEIN_LEVEL","Z-SCORE","Protein expression Z-scores (RPPA)","Protein expression, measured by reverse-phase protein array, Z-scores",true,"thca_tcga_pub_rppa_Zscores","thca_tcga_pub"
"COPY_NUMBER_ALTERATION","DISCRETE","Putative copy-number alterations from GISTIC","Putative copy-number calls on 496 cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.",true,"thca_tcga_pub_gistic","thca_tcga_pub"
"MRNA_EXPRESSION","CONTINUOUS","mRNA expression (RNA Seq V2 RSEM)","Expression levels for 20532 genes in 486 thca cases (RNA Seq V2 RSEM).",false,"thca_tcga_pub_rna_seq_v2_mrna","thca_tcga_pub"
"MRNA_EXPRESSION","Z-SCORE","mRNA Expression z-Scores (RNA Seq V2 RSEM)","mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.",true,"thca_tcga_pub_rna_seq_v2_mrna_median_Zscores","thca_tcga_pub"
